2026-02-15T07:22:50.462Z === Discovery run started 2026-02-15T07:22:50.462Z ===
2026-02-15T07:22:50.463Z [INFO] Discovery run date: 2026-02-15
2026-02-15T07:22:50.463Z [INFO] Using First Nations input file: data/first_nations_input.txt
2026-02-15T07:22:50.984Z [INFO] Fetching municipalities seed page: https://www.amo.on.ca/about-us/municipal-101/ontario-municipalities
2026-02-15T07:22:51.209Z [INFO] Municipality candidates extracted: 442
2026-02-15T07:24:31.037Z [INFO] Municipality seed finalized: 442
2026-02-15T07:24:31.039Z [INFO] Loaded First Nations input names: 0
2026-02-15T07:24:31.040Z [INFO] Combined org seed size: 442
2026-02-15T07:24:33.191Z [INFO] municipality:City of Brantford => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:50.050Z [INFO] municipality:City of North Bay => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:50.606Z [INFO] municipality:City of Clarence-Rockland => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:51.627Z [INFO] municipality:City of Orillia => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:24:51.748Z [INFO] municipality:City of Oshawa => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:53.826Z [INFO] municipality:City of Owen Sound => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:55.882Z [INFO] municipality:City of Pembroke => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:56.994Z [INFO] municipality:City of Peterborough => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:58.105Z [INFO] municipality:City of Pickering => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:25:00.206Z [INFO] municipality:City of Port Colborne => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:25:05.867Z [INFO] municipality:City of Ottawa => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:25:11.098Z [INFO] municipality:City of Richmond Hill => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:25:14.294Z [INFO] municipality:City of Quinte West => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:26:19.311Z [INFO] municipality:City of Mississauga => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:26.007Z [INFO] municipality:City of Sarnia => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:26.120Z [INFO] municipality:City of St Thomas => jobs_source_type=ats_dayforce, confidence=1.0
2026-02-15T07:26:28.241Z [INFO] municipality:City of St. Catharines => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:29.741Z [INFO] municipality:City of Stratford => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:26:30.293Z [INFO] municipality:City of Temiskaming Shores => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:32.991Z [INFO] municipality:City of Thunder Bay => jobs_source_type=ats_icims, confidence=1.0
2026-02-15T07:26:33.860Z [INFO] municipality:City of Thorold => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:35.965Z [INFO] municipality:City of Timmins => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:46.153Z [INFO] municipality:City of Brockville => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:47.253Z [INFO] municipality:City of Waterloo => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:26:50.102Z [INFO] municipality:City of Vaughan => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:26:51.192Z [INFO] municipality:City of Windsor => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:27:07.690Z [INFO] municipality:City of Woodstock => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:27:08.987Z [INFO] municipality:County of Brant => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:27:13.498Z [INFO] municipality:County of Bruce => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:27:36.335Z [INFO] municipality:City of Welland => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:27:58.707Z [INFO] municipality:City of Guelph => jobs_source_type=ats_icims, confidence=1.0
2026-02-15T07:27:59.832Z [INFO] municipality:County of Essex => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:28:01.984Z [INFO] municipality:County of Grey => jobs_source_type=ats_dayforce, confidence=1.0
2026-02-15T07:28:04.099Z [INFO] municipality:County of Haliburton => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:28:18.244Z [INFO] municipality:County of Hastings => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:28:32.106Z [INFO] municipality:County of Dufferin => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:28:49.231Z [INFO] municipality:City of Sault Ste Marie => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:29:01.210Z [INFO] municipality:County of Lambton => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:29:18.264Z [INFO] municipality:County of Lanark => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:29:20.314Z [INFO] municipality:County of Middlesex => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:29:34.832Z [INFO] municipality:City of Greater Sudbury => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:29:35.943Z [INFO] municipality:County of Oxford => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:29:42.078Z [INFO] municipality:County of Perth => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:29:57.089Z [INFO] municipality:City of Toronto => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:29:59.147Z [INFO] municipality:County of Peterborough => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:29:59.156Z [INFO] municipality:County of Huron => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:01.309Z [INFO] municipality:County of Simcoe => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:03.412Z [INFO] municipality:Frontenac => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:04.632Z [INFO] municipality:Haldimand County => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:06.805Z [INFO] municipality:Leeds & Grenville => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:08.973Z [INFO] municipality:Municipality of Arran Elderslie => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:14.208Z [INFO] municipality:County of Renfrew => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:19.523Z [INFO] municipality:County of Wellington => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:23.003Z [INFO] municipality:County of Elgin => jobs_source_type=ats_dayforce, confidence=1.0
2026-02-15T07:30:27.179Z [INFO] municipality:Municipality of Bayham => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:28.297Z [INFO] municipality:Municipality of Brockton => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:30.359Z [INFO] municipality:Municipality of Billings => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:35.604Z [INFO] municipality:Municipality of Bluewater => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:51.369Z [INFO] municipality:Municipality of Callander => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:52.728Z [INFO] municipality:Municipality of Brighton => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:30:53.398Z [INFO] municipality:Municipality of Casselman => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:53.437Z [INFO] municipality:Municipality of Central Elgin => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:54.490Z [INFO] municipality:Municipality of Central Manitoulin => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:54.801Z [INFO] municipality:Municipality of Central Huron => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:30:55.997Z [INFO] municipality:Municipality of Clarington => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:11.724Z [INFO] municipality:Municipality of Charlton and Dack => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:13.053Z [INFO] municipality:Municipality of Dutton/Dunwich => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:13.858Z [INFO] municipality:Municipality of Dysart et al => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:23.639Z [INFO] municipality:Municipality of Centre Hastings => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:31:29.233Z [INFO] municipality:Municipality of Brooke-Alvinston => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:30.220Z [INFO] municipality:Municipality of East Ferris => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:31:30.237Z [INFO] municipality:Municipality of French River => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:31.307Z [INFO] municipality:Municipality of Greenstone => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:31.330Z [INFO] municipality:Municipality of Grey Highlands => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:36.415Z [INFO] municipality:Municipality of Huron East => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:40.938Z [INFO] municipality:Municipality of Gordon/Barrie Island => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:47.366Z [INFO] municipality:Municipality of Hastings Highlands => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:49.285Z [INFO] municipality:County of Lennox and Addington => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:49.470Z [INFO] municipality:Municipality of Highlands East => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:51.343Z [INFO] municipality:Municipality of Lambton Shores => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:51.665Z [INFO] municipality:Municipality of Leamington => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:54.978Z [INFO] municipality:Municipality of Killarney => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:31:56.029Z [INFO] municipality:Municipality of Marmora and Lake => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:31:58.140Z [INFO] municipality:Municipality of Meaford => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:04.970Z [INFO] municipality:County of Northumberland => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:06.668Z [INFO] municipality:Municipality of Mississippi Mills => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:07.819Z [INFO] municipality:Municipality of Neebing => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:09.557Z [INFO] municipality:Municipality of Magnetawan => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:32:10.594Z [INFO] municipality:Municipality of North Middlesex => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:11.704Z [INFO] municipality:Municipality of North Perth => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:14.817Z [INFO] municipality:Municipality of Northern Bruce Peninsula => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:21.963Z [INFO] municipality:Municipality of North Grenville => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:32:23.333Z [INFO] municipality:Municipality of Morris-Turnberry => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:32:24.160Z [INFO] municipality:Municipality of Port Hope => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:41.252Z [INFO] municipality:Municipality of Red Lake => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:42.000Z [INFO] municipality:Municipality of Powassan => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:32:43.852Z [INFO] municipality:Municipality of Oliver Paipoonge => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:32:52.115Z [INFO] municipality:Municipality of Sioux Lookout => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:32:57.988Z [INFO] municipality:Municipality of South Bruce => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:33:00.064Z [INFO] municipality:Municipality of South Huron => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:02.102Z [INFO] municipality:Municipality of Southwest Middlesex => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:09.218Z [INFO] municipality:Municipality of South Dundas => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:26.464Z [INFO] municipality:Municipality of Temagami => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:29.598Z [INFO] municipality:Municipality of Thames Centre => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:30.791Z [INFO] municipality:Municipality of Markstay-Warren => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:33.868Z [INFO] municipality:Municipality of Trent Hills => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:34.945Z [INFO] municipality:Municipality of Trent Lakes => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:36.679Z [INFO] municipality:Municipality of The Nation => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:33:52.361Z [INFO] municipality:Municipality of Tweed => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:53.764Z [INFO] municipality:Municipality of Wawa => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:54.833Z [INFO] municipality:Municipality of West Grey => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:56.434Z [INFO] municipality:Municipality of West Elgin => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:33:58.512Z [INFO] municipality:Municipality of West Perth => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:02.686Z [INFO] municipality:Municipality of Shuniah => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:03.289Z [INFO] municipality:Municipality of West Nipissing => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:34:04.795Z [INFO] municipality:Norfolk County => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:06.973Z [INFO] municipality:Regional Municipality of Durham => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:11.103Z [INFO] municipality:Regional Municipality of Halton => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:12.137Z [INFO] municipality:Regional Municipality of Niagara => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:34:15.039Z [INFO] municipality:Regional Municipality of Peel => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:34:16.096Z [INFO] municipality:Municipality of Whitestone => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:18.162Z [INFO] municipality:Regional Municipality of York => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:18.169Z [INFO] municipality:Regional Municipality of Waterloo => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:19.238Z [INFO] municipality:Separated Town of Smiths Falls => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:21.404Z [INFO] municipality:Town of Ajax => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:34:22.304Z [INFO] municipality:Municipality of St. Charles => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:22.561Z [INFO] municipality:Town of Amherstburg => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:34:26.440Z [INFO] municipality:Town of Arnprior => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:35:16.626Z [INFO] municipality:Town of Aylmer => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:35:22.992Z [INFO] municipality:The District of Muskoka => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:35:25.053Z [INFO] municipality:Town of Blind River => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:35:26.152Z [INFO] municipality:Town of Bracebridge => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:35:28.248Z [INFO] municipality:Town of Bradford West Gwillimbury => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:35:46.053Z [INFO] municipality:Town of Bancroft => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:35:47.619Z [INFO] municipality:Town of Caledon => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:35:53.831Z [INFO] municipality:Town of Carleton Place => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:36:15.812Z [INFO] municipality:Prince Edward County => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:36:45.285Z [INFO] municipality:Town of Cobourg => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:37:09.786Z [INFO] municipality:Municipality of Kincardine => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:37:12.537Z [INFO] municipality:Town of Cobalt => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:14.000Z [INFO] municipality:Town of Collingwood => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:17.244Z [INFO] municipality:Town of Deep River => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:37:19.364Z [INFO] municipality:Town of East Gwillimbury => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:30.806Z [INFO] municipality:Municipality of Huron Shores => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:31.091Z [INFO] municipality:Town of Deseronto => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:31.932Z [INFO] municipality:Town of Erin => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:37:36.172Z [INFO] municipality:Town of Essex => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:37:36.758Z [INFO] municipality:Town of Englehart => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:39.262Z [INFO] municipality:Town of Fort Erie => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:40.044Z [INFO] municipality:Town of Fort Frances => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:42.133Z [INFO] municipality:Town of Georgina => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:48.590Z [INFO] municipality:Town of Espanola => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:37:49.213Z [INFO] municipality:Town of Goderich => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:37:52.643Z [INFO] municipality:Town of Gore Bay => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:55.279Z [INFO] municipality:Town of Grand Valley => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:55.746Z [INFO] municipality:Town of Gravenhurst => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:56.350Z [INFO] municipality:Town of Gananoque => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:56.458Z [INFO] municipality:Town of Greater Napanee => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:56.850Z [INFO] municipality:Town of Grimsby => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:58.563Z [INFO] municipality:Town of Halton Hills => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:37:58.670Z [INFO] municipality:Town of Hanover => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:37:59.090Z [INFO] municipality:Town of Hawkesbury => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:38:01.270Z [INFO] municipality:Town of Ingersoll => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:03.342Z [INFO] municipality:Town of Innisfil => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:05.408Z [INFO] municipality:Town of Iroquois Falls => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:13.788Z [INFO] municipality:Town of Huntsville => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:38:25.494Z [INFO] municipality:Town of Kapuskasing => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:29.560Z [INFO] municipality:Town of Kingsville => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:30.914Z [INFO] municipality:Town of Kearney => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:31.995Z [INFO] municipality:Town of Lakeshore => jobs_source_type=ats_dayforce, confidence=1.0
2026-02-15T07:38:32.190Z [INFO] municipality:Town of Kirkland Lake => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:33.157Z [INFO] municipality:Town of LaSalle => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:34.439Z [INFO] municipality:Town of Laurentian Hills => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:38:36.584Z [INFO] municipality:Town of Lincoln => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:38.194Z [INFO] municipality:Town of Cochrane => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:38.648Z [INFO] municipality:Town of Marathon => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:39.720Z [INFO] municipality:Town of Midland => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:41.873Z [INFO] municipality:Town of Milton => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:38:55.428Z [INFO] municipality:Town of Mattawa => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:38:58.489Z [INFO] municipality:Town of Mono => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:38:59.181Z [INFO] municipality:Town of Minto => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:39:01.290Z [INFO] municipality:Town of New Tecumseth => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:39:04.449Z [INFO] municipality:Town of Newmarket => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:39:43.164Z [INFO] municipality:Town of Hearst => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:39:45.014Z [INFO] municipality:Town of Aurora => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:39:51.787Z [INFO] municipality:Town of Moosonee => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:39:53.357Z [INFO] municipality:Town of Latchford => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:39:55.985Z [INFO] municipality:Town of Orangeville => jobs_source_type=ats_dayforce, confidence=1.0
2026-02-15T07:39:57.116Z [INFO] municipality:Town of Pelham => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:39:59.428Z [INFO] municipality:Town of Parry Sound => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:00.509Z [INFO] municipality:Town of Northeastern Manitoulin and The Islands => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:03.574Z [INFO] municipality:Town of Niagara-on-the-Lake => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:40:04.493Z [INFO] municipality:Town of Perth => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:05.575Z [INFO] municipality:Town of Plympton-Wyoming => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:11.232Z [INFO] municipality:Town of Bruce Mines => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:14.218Z [INFO] municipality:Town of Penetanguishene => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:40:22.728Z [INFO] municipality:Town of Prescott => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:24.903Z [INFO] municipality:Town of Saugeen Shores => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:25.993Z [INFO] municipality:Town of Shelburne => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:28.389Z [INFO] municipality:Town of Rainy River => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:40:30.497Z [INFO] municipality:Town of South Bruce Peninsula => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:30.831Z [INFO] municipality:Town of Renfrew => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:31.643Z [INFO] municipality:Town of St. Marys => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:33.863Z [INFO] municipality:Town of The Blue Mountains => jobs_source_type=ats_dayforce, confidence=1.0
2026-02-15T07:40:35.907Z [INFO] municipality:Town of Tecumseh => jobs_source_type=ats_dayforce, confidence=1.0
2026-02-15T07:40:40.034Z [INFO] municipality:Town of Tillsonburg => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:42.189Z [INFO] municipality:Town of Wasaga Beach => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:40:43.297Z [INFO] municipality:Town of Whitby => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:40:45.391Z [INFO] municipality:Town of Whitchurch-Stouffville => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:41:01.517Z [INFO] municipality:Township of Addington Highlands => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:41:03.641Z [INFO] municipality:Township of Adelaide Metcalfe => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:41:40.844Z [INFO] municipality:Town of Petrolia => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:41:56.421Z [INFO] municipality:Town of Petawawa => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:42:15.681Z [INFO] municipality:Township of Admaston-Bromley => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:42:20.166Z [INFO] municipality:Township of Alfred & Plantagenet => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:42:26.466Z [INFO] municipality:Town of Smooth Rock Falls => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:42:39.270Z [INFO] municipality:Township of Algonquin Highlands => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:42:40.600Z [INFO] municipality:Township of Alnwick/Haldimand => jobs_source_type=manual_review, confidence=0.0
2026-02-15T07:42:44.328Z [INFO] municipality:Town of Thessalon => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:42:56.385Z [INFO] municipality:Township of Amaranth => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:42:57.707Z [INFO] municipality:Township of Armour => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:42:58.804Z [INFO] municipality:Township of Asphodel-Norwood => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:43:01.578Z [INFO] municipality:Township of Armstrong => jobs_source_type=html_list, confidence=0.8
